data_type,material_type,year,month,type,month_usage_by_type,month_sum_all_types,year_sum_by_type
Pounds of Materials Used,Grain Products,2010,6,Rice and rice products,66627541,600177188,713449319
Pounds of Materials Used,Grain Products,2010,6,Barley and barley products,11280602,600177188,87693044
Pounds of Materials Used,Grain Products,2010,6,Wheat and wheat products,2896874,600177188,22162591
Pounds of Materials Used,Non-Grain Products,2010,6,Sugar and syrups,67266337,600177188,769069238
Pounds of Materials Used,Non-Grain Products,2010,6,Hops (dry),10418215,600177188,90857470
Pounds of Materials Used,Non-Grain Products,2010,6,Hops (used as extracts),355258,600177188,4288532
Pounds of Materials Used,Grain Products,2010,7,Malt and malt products,384726834,603556470,4146613431
Pounds of Materials Used,Grain Products,2010,7,Corn and corn products,58694301,603556470,700751347
Pounds of Materials Used,Grain Products,2010,7,Rice and rice products,68031711,603556470,713449319
Pounds of Materials Used,Grain Products,2010,7,Barley and barley products,5224206,603556470,87693044
Pounds of Materials Used,Grain Products,2010,7,Wheat and wheat products,1628102,603556470,22162591
Pounds of Materials Used,Non-Grain Products,2010,7,Sugar and syrups,76584550,603556470,769069238
Pounds of Materials Used,Non-Grain Products,2010,7,Hops (dry),8297261,603556470,90857470
Pounds of Materials Used,Non-Grain Products,2010,7,Hops (used as extracts),369505,603556470,4288532
Pounds of Materials Used,Grain Products,2010,8,Malt and malt products,358726926,572805667,4146613431
Pounds of Materials Used,Grain Products,2010,8,Corn and corn products,60424525,572805667,700751347
Pounds of Materials Used,Grain Products,2010,8,Rice and rice products,63192375,572805667,713449319
Pounds of Materials Used,Grain Products,2010,8,Barley and barley products,5276045,572805667,87693044
Pounds of Materials Used,Grain Products,2010,8,Wheat and wheat products,1379102,572805667,22162591
Pounds of Materials Used,Non-Grain Products,2010,8,Sugar and syrups,75815015,572805667,769069238
Pounds of Materials Used,Non-Grain Products,2010,8,Hops (dry),7272871,572805667,90857470
Pounds of Materials Used,Non-Grain Products,2010,8,Hops (used as extracts),718808,572805667,4288532
Pounds of Materials Used,Grain Products,2010,9,Malt and malt products,329671455,554004802,4146613431
Pounds of Materials Used,Grain Products,2010,9,Corn and corn products,77399155,554004802,700751347
Pounds of Materials Used,Grain Products,2010,9,Rice and rice products,54884345,554004802,713449319
Pounds of Materials Used,Grain Products,2010,9,Barley and barley products,14107767,554004802,87693044
Pounds of Materials Used,Grain Products,2010,9,Wheat and wheat products,2150923,554004802,22162591
Pounds of Materials Used,Non-Grain Products,2010,9,Sugar and syrups,69053125,554004802,769069238
Pounds of Materials Used,Non-Grain Products,2010,9,Hops (dry),6437916,554004802,90857470
Pounds of Materials Used,Non-Grain Products,2010,9,Hops (used as extracts),300116,554004802,4288532
Pounds of Materials Used,Grain Products,2010,10,Malt and malt products,333230020,524170214,4146613431
Pounds of Materials Used,Grain Products,2010,10,Corn and corn products,51427974,524170214,700751347
Pounds of Materials Used,Grain Products,2010,10,Rice and rice products,55450803,524170214,713449319
Pounds of Materials Used,Grain Products,2010,10,Barley and barley products,6203762,524170214,87693044
Pounds of Materials Used,Grain Products,2010,10,Wheat and wheat products,1053279,524170214,22162591
Pounds of Materials Used,Non-Grain Products,2010,10,Sugar and syrups,67265699,524170214,769069238
Pounds of Materials Used,Non-Grain Products,2010,10,Hops (dry),9244763,524170214,90857470
Pounds of Materials Used,Non-Grain Products,2010,10,Hops (used as extracts),293914,524170214,4288532
Pounds of Materials Used,Grain Products,2010,11,Malt and malt products,298251207,472906729,4146613431
Pounds of Materials Used,Grain Products,2010,11,Corn and corn products,47348859,472906729,700751347
Pounds of Materials Used,Grain Products,2010,11,Rice and rice products,53779401,472906729,713449319
Pounds of Materials Used,Grain Products,2010,11,Barley and barley products,5235825,472906729,87693044
Pounds of Materials Used,Grain Products,2010,11,Wheat and wheat products,1097679,472906729,22162591
Pounds of Materials Used,Non-Grain Products,2010,11,Sugar and syrups,59184495,472906729,769069238
Pounds of Materials Used,Non-Grain Products,2010,11,Hops (dry),7727370,472906729,90857470
Pounds of Materials Used,Non-Grain Products,2010,11,Hops (used as extracts),281893,472906729,4288532
Pounds of Materials Used,Grain Products,2010,12,Malt and malt products,285382073,452298472,4146613431
Pounds of Materials Used,Grain Products,2010,12,Corn and corn products,48503335,452298472,700751347
Pounds of Materials Used,Grain Products,2010,12,Rice and rice products,47504543,452298472,713449319
Pounds of Materials Used,Grain Products,2010,12,Barley and barley products,12815197,452298472,87693044
